yourlist:M20180720A7434721E10EE6586998A056CCD0537E950220G	isomap:M20180720A7434721E10EE6586998A056CCD0537E950220G	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPTS_2682		B2K821	NUOA_YERPB	reviewed	NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA YPTS_2682	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_2689		B2K828	Y2689_YERPB	reviewed	UPF0304 protein YPTS_2689	YPTS_2689	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210286.1;
YPTS_2691		B2K830	ACKA_YERPB	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA YPTS_2691	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413811.1;
YPTS_2711		B2K8H3	ACCD_YERPB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD YPTS_2711	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209729.1;
YPTS_2715		B2K8H7	PDXB_YERPB	reviewed	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB YPTS_2715	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209725.1;
YPTS_2722		B2K8I4	MNMC_YERPB	reviewed	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)]	mnmC YPTS_2722	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192689.1;
YPTS_2727		B2K8I9	AROC_YERPB	reviewed	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC YPTS_2727	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192692.1;
YPTS_2734		B2K8J6	FADI_YERPB	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI YPTS_2734	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209704.1;
YPTS_2799		B2K906	GLK_YERPB	reviewed	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk YPTS_2799	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211615.1;
YPTS_2806		B2K913	SYE_YERPB	reviewed	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX YPTS_2806	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192732.1;
YPTS_2811		B2K917	DNLJ_YERPB	reviewed	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA YPTS_2811	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192735.1;
YPTS_2812		B2K918	ZIPA_YERPB	reviewed	Cell division protein ZipA	zipA YPTS_2812	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002227089.1;
YPTS_2857		B2K963	Y2857_YERPB	reviewed	UPF0178 protein YPTS_2857	YPTS_2857	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208527.1;
YPTS_2864		B2K970	NAPA_YERPB	reviewed	Periplasmic nitrate reductase (EC 1.9.6.1)	napA YPTS_2864	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011171900.1;
YPTS_2879		B2K985	DAPE_YERPB	reviewed	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	dapE YPTS_2879	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208549.1;
YPTS_2887		B2K993	PUR7_YERPB	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC YPTS_2887	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208555.1;
YPTS_2899		B2K9J9	UPP_YERPB	reviewed	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp YPTS_2899	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209776.1;
YPTS_2900		B2K9K0	PUR5_YERPB	reviewed	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM YPTS_2900	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192770.1;
YPTS_2940		B2K9P0	GUAA_YERPB	reviewed	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA YPTS_2940	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192796.1;
YPTS_2942		B2K9P2	EX7L_YERPB	reviewed	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA YPTS_2942	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192797.1;
YPTS_2946		B2K9P6	DER_YERPB	reviewed	GTPase Der (GTP-binding protein EngA)	der engA YPTS_2946	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192800.1;
YPTS_2949		B2K9P9	SYH_YERPB	reviewed	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS YPTS_2949	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209816.1;
YPTS_2950		B2K9Q0	ISPG_YERPB	reviewed	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG YPTS_2950	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209817.1;
YPTS_2951		B2K9Q1	RODZ_YERPB	reviewed	Cytoskeleton protein RodZ	rodZ YPTS_2951	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192802.1;
YPTS_2953		B2K9Q3	RLMN_YERPB	reviewed	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN YPTS_2953	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413853.1;
YPTS_2954		B2K9Q4	NDK_YERPB	reviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk YPTS_2954	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_004875799.1;
YPTS_2960		B2K9R0	PEPB_YERPB	reviewed	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	pepB YPTS_2960	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192810.1;
YPTS_2964		B2K9R4	HSCB_YERPB	reviewed	Co-chaperone protein HscB (Hsc20)	hscB YPTS_2964	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192812.1;
YPTS_2978		B2K9S8	GLYA_YERPB	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA YPTS_2978	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211552.1;
YPTS_2994		B2KA40	MURQ_YERPB	reviewed	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ YPTS_2994	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211565.1;
YPTS_2999		B2KA45	RECO_YERPB	reviewed	DNA repair protein RecO (Recombination protein O)	recO YPTS_2999	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209680.1;
YPTS_3000		B2KA46	ERA_YERPB	reviewed	GTPase Era	era YPTS_3000	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002214829.1;
YPTS_3003		B2KA49	LEPA_YERPB	reviewed	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA YPTS_3003	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209677.1;
YPTS_3016		B2KA62	GRCA_YERPB	reviewed	Autonomous glycyl radical cofactor	grcA YPTS_3016	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209664.1;
YPTS_3017		B2KA63	UNG_YERPB	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung YPTS_3017	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012303780.1;
YPTS_3018		B2KA64	PCP_YERPB	reviewed	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase)	pcp YPTS_3018	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209662.1;
YPTS_3021		B2KA67	PXPA_YERPB	reviewed	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	pxpA YPTS_3021	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209659.1;
YPTS_3043		B2KA89	CHBG_YERPB	reviewed	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	chbG YPTS_3043	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212244.1;
YPTS_3056		B2KAA2	UREF_YERPB	reviewed	Urease accessory protein UreF	ureF YPTS_3056	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192843.1;
YPTS_3057		B2KAA3	UREE_YERPB	reviewed	Urease accessory protein UreE	ureE YPTS_3057	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192844.1;
YPTS_3058		B2KAA4	URE1_YERPB	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC YPTS_3058	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212229.1;
YPTS_3060		B2KAA6	URE3_YERPB	reviewed	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	ureA YPTS_3060	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002215288.1;
YPTS_3083		B2KAC9	RNH_YERPB	reviewed	Ribonuclease H (RNase H) (EC 3.1.26.4)	rnhA YPTS_3083	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210699.1;
YPTS_3085		B2KAD1	GLO2_YERPB	reviewed	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB YPTS_3085	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192852.1;
YPTS_3098		B2JZ09	SYP_YERPB	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS YPTS_3098	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192856.1;
YPTS_3102		B2JZ13	Y3102_YERPB	reviewed	UPF0253 protein YPTS_3102	YPTS_3102	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212152.1;
YPTS_3107		B2JZ18	ACCA_YERPB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA YPTS_3107	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212147.1;
YPTS_3109		B2JZ20	RNH2_YERPB	reviewed	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB YPTS_3109	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212145.1;
YPTS_3111		B2JZ22	LPXA_YERPB	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA YPTS_3111	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212143.1;
YPTS_3112		B2JZ23	FABZ_YERPB	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ YPTS_3112	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002217656.1;
YPTS_3115		B2JZ26	BAMA_YERPB	reviewed	Outer membrane protein assembly factor BamA	bamA yaeT YPTS_3115	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212139.1;
YPTS_3119		B2JZ30	DXR_YERPB	reviewed	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr YPTS_3119	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192861.1;
YPTS_3120		B2JZ31	RRF_YERPB	reviewed	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr YPTS_3120	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212134.1;
YPTS_3122		B2JZ33	EFTS_YERPB	reviewed	Elongation factor Ts (EF-Ts)	tsf YPTS_3122	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212132.1;
YPTS_3123		B2JZ34	RS2_YERPB	reviewed	30S ribosomal protein S2	rpsB YPTS_3123	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002221800.1;
YPTS_3126		B2JZ37	DAPD_YERPB	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD YPTS_3126	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192864.1;
YPTS_3127		B2JZ38	Y3127_YERPB	reviewed	UPF0325 protein YPTS_3127	YPTS_3127	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212127.1;
YPTS_3132		B2JZ43	SYDP_YERPB	reviewed	Protein Syd	syd YPTS_3132	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_3136		B2JZ47	RLMM_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)	rlmM YPTS_3136	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212119.1;
YPTS_3145		B2JZ56	ARGA_YERPB	reviewed	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA YPTS_3145	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211624.1;
YPTS_3156		B2JZ67	LGT_YERPB	reviewed	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	lgt YPTS_3156	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211383.1;
YPTS_3158		B2JZ69	RPPH_YERPB	reviewed	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	rppH nudH YPTS_3158	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211381.1;
YPTS_3159		B2JZ70	MUTH_YERPB	reviewed	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	mutH YPTS_3159	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192875.1;
YPTS_3163		B2JZ74	LPLT_YERPB	reviewed	Lysophospholipid transporter LplT	lplT YPTS_3163	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209842.1;
YPTS_3164		B2JZ75	AAS_YERPB	reviewed	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	aas YPTS_3164	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192876.1;
YPTS_3294		B2K0N6	SYK_YERPB	reviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS YPTS_3294	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209930.1;
YPTS_3305		B2K0P7	YGFZ_YERPB	reviewed	tRNA-modifying protein YgfZ	YPTS_3305	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413924.1;
YPTS_3311		B2K0Q3	GCSP_YERPB	reviewed	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP YPTS_3311	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209947.1;
YPTS_3312		B2K0Q4	GCSH_YERPB	reviewed	Glycine cleavage system H protein	gcvH YPTS_3312	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209948.1;
YPTS_3313		B2K0Q5	GCST_YERPB	reviewed	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT YPTS_3313	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209949.1;
YPTS_3318		B2K0R0	Y3318_YERPB	reviewed	UPF0149 protein YPTS_3318	YPTS_3318	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209953.1;
YPTS_3319		B2K0R1	ZAPA_YERPB	reviewed	Cell division protein ZapA (Z ring-associated protein ZapA)	zapA YPTS_3319	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209954.1;
YPTS_3322		B2K0R4	RPIA_YERPB	reviewed	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	rpiA YPTS_3322	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209957.1;
YPTS_3323		B2K0R5	ARGP_YERPB	reviewed	HTH-type transcriptional regulator ArgP	argP iciA YPTS_3323	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209958.1;
YPTS_3328		B2K0S0	PGK_YERPB	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk YPTS_3328	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209963.1;
YPTS_3335		B2K0S7	METK_YERPB	reviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK YPTS_3335	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209971.1;
YPTS_3341		B2K0T3	Y3341_YERPB	reviewed	UPF0301 protein YPTS_3341	YPTS_3341	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192971.1;
YPTS_3359		B2K0V1	FETP_YERPB	reviewed	Probable Fe(2+)-trafficking protein	YPTS_3359	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002230648.1;
YPTS_3360		B2K0V2	MLTC_YERPB	reviewed	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)	mltC YPTS_3360	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209995.1;
YPTS_3546		B2K2H0	RIBB_YERPB	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB YPTS_3546	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212190.1;
YPTS_3550		B2K2H4	HLDE_YERPB	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE YPTS_3550	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011193099.1;
YPTS_3551		B2K2H5	GLNE_YERPB	reviewed	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE YPTS_3551	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212194.1;
YPTS_3555		B2K2H9	CCA_YERPB	reviewed	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	cca YPTS_3555	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011193101.1;
YPTS_3558		B2K2I2	PLSY_YERPB	reviewed	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase)	plsY YPTS_3558	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002217581.1;
YPTS_3559		B2K2I3	TSAD_YERPB	reviewed	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp YPTS_3559	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212201.1;
YPTS_3560		B2K2I4	RS21_YERPB	reviewed	30S ribosomal protein S21	rpsU YPTS_3560	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_001144069.1;
YPTS_3655		B2K3B8	RLMG_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)	rlmG YPTS_3655	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210402.1;
YPTS_3663		B2K3C6	UXAC_YERPB	reviewed	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	uxaC YPTS_3663	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210410.1;
YPTS_3680		B2K3Y4	DIAA_YERPB	reviewed	DnaA initiator-associating protein DiaA	diaA YPTS_3680	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011193139.1;
YPTS_3692		B2K3Z6	RS9_YERPB	reviewed	30S ribosomal protein S9	rpsI YPTS_3692	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210133.1;
YPTS_3693		B2K3Z7	RL13_YERPB	reviewed	50S ribosomal protein L13	rplM YPTS_3693	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210132.1;
YPTS_3699		B2K403	MURA_YERPB	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA YPTS_3699	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210127.1;
YPTS_3715		B2K419	RAPZ_YERPB	reviewed	RNase adapter protein RapZ	rapZ YPTS_3715	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210113.1;
YPTS_3717		B2K421	PYRB_YERPB	reviewed	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB YPTS_3717	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011193148.1;
YPTS_3718		B2K422	PYRI_YERPB	reviewed	Aspartate carbamoyltransferase regulatory chain	pyrI YPTS_3718	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_3728		B2K432	Y3728_YERPB	reviewed	UPF0307 protein YPTS_3728	YPTS_3728	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011193153.1;
YPTS_3733		B2K437	AAEA_YERPB	reviewed	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	aaeA YPTS_3733	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210094.1;
YPTS_3757		B2K461	AROQ_YERPB	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ YPTS_3757	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210071.1;
YPTS_3763		B2K467	PRMA_YERPB	reviewed	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA YPTS_3763	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011193166.1;
YPTS_3765		B2K469	FIS_YERPB	reviewed	DNA-binding protein Fis	fis YPTS_3765	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210061.1;
YPTS_3835		B2K4Y6	G6PI_YERPB	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi YPTS_3835	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212085.1;
YPTS_3852		B2K4Z9	AROE_YERPB	reviewed	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE YPTS_3852	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209026.1;
YPTS_3853		B2K500	TSAC_YERPB	reviewed	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC rimN YPTS_3853	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209025.1;
YPTS_3857		B2K504	DEF_YERPB	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def YPTS_3857	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209021.1;
YPTS_3858		B2K505	FMT_YERPB	reviewed	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt YPTS_3858	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209020.1;
YPTS_3864		B2K511	RL17_YERPB	reviewed	50S ribosomal protein L17	rplQ YPTS_3864	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209014.1;
YPTS_3866		B2K513	RS4_YERPB	reviewed	30S ribosomal protein S4	rpsD YPTS_3866	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002218949.1;
