yourlist:M20180720A7434721E10EE6586998A056CCD0537E950197S	isomap:M20180720A7434721E10EE6586998A056CCD0537E950197S	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPO3308		Q0WBY4	Q0WBY4_YERPE	unreviewed	Putative competence-damaged protein	YPO3308	Yersinia pestis	WP_002209445.1;YP_002348204.1;
YPO3310		Q7CK98	Q7CK98_YERPE	unreviewed	Putative transcriptional regulatory protein	YPO3310	Yersinia pestis	WP_002209443.1;YP_002348206.1;
YPO3318		Q9X6A9	Q9X6A9_YERPE	unreviewed	D-ribose binding protein (Putative sugar ABC transporter, periplasmic protein)	rbsB YPO3318	Yersinia pestis	WP_002228235.1;YP_002348214.1;
YPO3319		Q9X6B0	KATG_YERPE	reviewed	Catalase-peroxidase (CP) (EC 1.11.1.21) (Antigen 5) (Peroxidase/catalase)	katG katY YPO3319 y0870 YP_0367	Yersinia pestis	WP_002209433.1;YP_002348215.1;
YPO3320		Q9X6B1	C5621_YERPE	reviewed	Probable soluble cytochrome b562 1 (Cytochrome b-562 1)	cybC1 cybC YPO3320 y0869 YP_0366	Yersinia pestis	WP_002215101.1;YP_002348216.1;
YPO3325		Q0WBW7	Q0WBW7_YERPE	unreviewed	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	dmsA YPO3325	Yersinia pestis	WP_002209427.1;YP_002348221.1;
YPO3326		Q0WBW6	Q0WBW6_YERPE	unreviewed	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	araD YPO3326	Yersinia pestis	WP_002209426.1;YP_002348222.1;
YPO3328		Q7CKA9	Q7CKA9_YERPE	unreviewed	Putative sugar ABC transporter, periplasmic protein	YPO3328	Yersinia pestis	WP_002209423.1;YP_002348224.1;
YPO3333		Q7CKB3	Q7CKB3_YERPE	unreviewed	Putative hexulose-6-phosphate isomerase (EC 5.-.-.-)	sgbU YPO3333	Yersinia pestis	WP_002209420.1;YP_002348229.1;
YPO3335		Q7CKB5	Q7CKB5_YERPE	unreviewed	Fumarate hydratase class I (EC 4.2.1.2)	fumA YPO3335	Yersinia pestis	WP_002209418.1;YP_002348231.1;
YPO3337		Q7CKB7	Q7CKB7_YERPE	unreviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map YPO3337	Yersinia pestis	WP_002209416.1;YP_002348233.1;
YPO3343		Q7CKC0	Q7CKC0_YERPE	unreviewed	Probable extracellular solute-binding protein	YPO3343	Yersinia pestis	WP_002228233.1;YP_002348236.1;
YPO3348		Q74XR2	Q74XR2_YERPE	unreviewed	Transcriptional regulatory protein	YPO3348	Yersinia pestis	WP_002228230.1;YP_002348241.1;
YPO3350		Q0WBU5	Q0WBU5_YERPE	unreviewed	Putative dihydroxyacetone kinase (EC 2.7.1.29)	dhaK YPO3350	Yersinia pestis	WP_002228229.1;YP_002348243.1;
YPO3354		Q8ZBQ3	MUTS_YERPE	reviewed	DNA mismatch repair protein MutS	mutS YPO3354 y0835 YP_0333	Yersinia pestis	WP_002209399.1;YP_002348247.1;
YPO3355		Q7CKC7	Q7CKC7_YERPE	unreviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	appR rpoS YPO3355	Yersinia pestis	WP_002209397.1;YP_002348248.1;
YPO3356		Q7CKC8	Q7CKC8_YERPE	unreviewed	Lipoprotein (NlpD)	nlpD YPO3356	Yersinia pestis	WP_002228228.1;YP_002348249.1;
YPO3357		Q8ZBQ0	PIMT_YERPE	reviewed	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm YPO3357 y0832 YP_0330	Yersinia pestis	WP_002209395.1;YP_002348250.1;
YPO3358		Q8ZBP9	SURE_YERPE	reviewed	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase)	surE YPO3358 y0831 YP_0329	Yersinia pestis	WP_002209394.1;YP_002348251.1;
YPO3359		Q8ZBP8	TRUD_YERPE	reviewed	tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	truD YPO3359 y0830 YP_0328	Yersinia pestis	WP_002209393.1;YP_002348252.1;
YPO3360		Q8ZBP7	ISPF_YERPE	reviewed	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF YPO3360 y0829 YP_0327	Yersinia pestis	WP_002209392.1;YP_002348253.1;
YPO3361		Q8ZBP6	ISPD_YERPE	reviewed	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD YPO3361 y0828 YP_0326	Yersinia pestis	WP_002209391.1;YP_002348254.1;
YPO3369		Q0WBS6	Q0WBS6_YERPE	unreviewed	Uncharacterized protein	YPO3369	Yersinia pestis	WP_002209383.1;YP_002348262.1;
YPO3371		Q8ZBN7	CYSI_YERPE	reviewed	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI YPO3371 y0819 YP_0315	Yersinia pestis	WP_002209382.1;YP_002348263.1;
YPO3374		Q7CKD0	Q7CKD0_YERPE	unreviewed	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE YPO3374	Yersinia pestis	WP_002209379.1;YP_002348266.1;
YPO3375		Q74XS8	Q74XS8_YERPE	unreviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC YPO3375	Yersinia pestis	WP_002218050.1;YP_002348267.1;
YPO3376		Q8ZBN2	ENO_YERPE	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno YPO3376 y0814 YP_0310	Yersinia pestis	WP_002209377.1;YP_002348268.1;
YPO3377		Q8ZBN1	PYRG_YERPE	reviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG YPO3377 y0813 YP_0309	Yersinia pestis	WP_002209376.1;YP_002348269.1;
YPO3378		Q7CKD1	Q7CKD1_YERPE	unreviewed	Uncharacterized protein	YPO3378	Yersinia pestis	WP_002209374.1;YP_002348270.1;
YPO3380		Q7CKD2	Q7CKD2_YERPE	unreviewed	GTP pyrophosphokinase (EC 2.7.6.5)	relA YPO3380	Yersinia pestis	WP_002209373.1;YP_002348272.1;
YPO3381		Q0WBR5	Q0WBR5_YERPE	unreviewed	Histidine kinase (EC 2.7.13.3)	barA YPO3381	Yersinia pestis	WP_002209371.1;YP_002348273.1;
YPO3382		Q7CKD3	Q7CKD3_YERPE	unreviewed	Periplasmic serine endoprotease DegP-like (EC 3.4.21.107)	degP YPO3382	Yersinia pestis	WP_002209370.1;YP_002348274.1;
YPO3383		Q8ZBM5	DGTP_YERPE	reviewed	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	dgt YPO3383 y0806 YP_0302	Yersinia pestis	WP_002209369.1;YP_002348275.1;
YPO3384		Q7CKD4	MTNN_YERPE	reviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN YPO3384 y0805 YP_0301	Yersinia pestis	WP_002209368.1;YP_002348276.1;
YPO3385		Q8ZBM3	BTUF_YERPE	reviewed	Vitamin B12-binding protein	btuF YPO3385 y0804 YP_0300	Yersinia pestis	WP_002222100.1;YP_002348277.1;
YPO3387		Q0WBQ9	ERPA_YERPE	reviewed	Iron-sulfur cluster insertion protein ErpA	erpA YPO3387 y0801 YP_0298	Yersinia pestis	WP_002209365.1;YP_002348279.1;
YPO3388		Q8ZBM0	CLCA_YERPE	reviewed	H(+)/Cl(-) exchange transporter ClcA	clcA eriC YPO3388 y0800 YP_0297	Yersinia pestis	WP_002209364.1;
YPO3389		Q8ZBL9	GSA_YERPE	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL YPO3389 y0799 YP_0296	Yersinia pestis	WP_002209362.1;YP_002348281.1;
YPO3392		Q7CKD5	Q7CKD5_YERPE	unreviewed	Ferrichrome transport ATP-binding protein FhuC	fhuC YPO3392	Yersinia pestis	WP_002209359.1;YP_002348284.1;
YPO3393		Q0WBQ3	Q0WBQ3_YERPE	unreviewed	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase)	b0149 YPO3393	Yersinia pestis	WP_002209358.1;YP_002348285.1;
YPO3394		Q0WBQ2	Q0WBQ2_YERPE	unreviewed	ATP-dependent helicase	hrpB YPO3394	Yersinia pestis	
YPO3396		P58431	SFSA_YERPE	reviewed	Sugar fermentation stimulation protein homolog	sfsA YPO3396 y0792 YP_0289	Yersinia pestis	WP_002228221.1;YP_002348288.1;
YPO3397		Q0WBP9	Q0WBP9_YERPE	unreviewed	RNA polymerase-binding transcription factor DksA	dksA YPO3397	Yersinia pestis	WP_002209354.1;YP_002348289.1;
YPO3398		Q8ZBL1	GLUQ_YERPE	reviewed	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)	gluQ YPO3398 y0789 YP_0287	Yersinia pestis	WP_002228220.1;YP_002348290.1;
YPO3399		Q0WBP7	Q0WBP7_YERPE	unreviewed	Poly(A) polymerase I (PAP I) (EC 2.7.7.19)	pcnB YPO3399	Yersinia pestis	
YPO3400		Q7CKD7	Q7CKD7_YERPE	unreviewed	2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase (EC 2.7.6.3)	folK YPO3400	Yersinia pestis	WP_002209351.1;YP_002348292.1;
YPO3401		Q8ZBK8	PANB_YERPE	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB YPO3401 y0786 YP_0284	Yersinia pestis	WP_002209349.1;YP_002348293.1;
YPO3402		Q8ZBK7	PANC_YERPE	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC YPO3402 y0785 YP_0283	Yersinia pestis	WP_002209348.1;YP_002348294.1;
YPO3403		Q8ZBK6	PAND_YERPE	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD YPO3403 y0784 YP_0282	Yersinia pestis	WP_002209347.1;YP_002348295.1;
YPO3404		Q0WBP2	Q0WBP2_YERPE	unreviewed	Uncharacterized protein	YPO3404	Yersinia pestis	WP_002228217.1;YP_002348296.1;
YPO3406		Q7CKD9	Q7CKD9_YERPE	unreviewed	Putative ABC transporter, ATP-binding protein	yadG YPO3406	Yersinia pestis	WP_002209343.1;YP_002348298.1;
YPO3407		Q0WBN9	Q0WBN9_YERPE	unreviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	yadF YPO3407	Yersinia pestis	WP_002209342.1;YP_002348299.1;
YPO3408		Q0WBN8	Q0WBN8_YERPE	unreviewed	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	b0125 YPO3408	Yersinia pestis	WP_002228216.1;YP_002348300.1;
YPO3409		Q8ZBK0	CUEO_YERPE	reviewed	Blue copper oxidase CueO (Copper efflux oxidase)	cueO YPO3409 y0777 YP_0276	Yersinia pestis	WP_002209340.1;YP_002348301.1;
YPO3411		Q8ZBJ8	SPEE_YERPE	reviewed	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE YPO3411 y0775 YP_0274	Yersinia pestis	WP_002209338.1;YP_002348303.1;
YPO3412		Q8ZBJ7	SPED_YERPE	reviewed	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speD YPO3412 y0774 YP_0273	Yersinia pestis	WP_002209337.1;YP_002348304.1;
YPO3414		Q8ZBJ5	Y3414_YERPE	reviewed	UPF0231 protein YPO3414/y0772/YP_0271	YPO3414 y0772 YP_0271	Yersinia pestis	WP_002209334.1;YP_002348306.1;
YPO3415		Q7CKE2	Q7CKE2_YERPE	unreviewed	Aconitate hydratase B (EC 4.2.1.3) (EC 4.2.1.99) (2-methylisocitrate dehydratase)	acnB YPO3415	Yersinia pestis	WP_002209333.1;YP_002348307.1;
YPO3417		Q7CKE4	Q7CKE4_YERPE	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	lpd YPO3417	Yersinia pestis	WP_002222081.1;YP_002348309.1;
YPO3418		Q7CKE5	Q7CKE5_YERPE	unreviewed	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	aceF YPO3418	Yersinia pestis	WP_002209330.1;YP_002348310.1;
YPO3419		Q7CKE6	Q7CKE6_YERPE	unreviewed	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	aceE YPO3419	Yersinia pestis	WP_002209329.1;YP_002348311.1;
YPO3420		Q0WBM6	Q0WBM6_YERPE	unreviewed	Pyruvate dehydrogenase complex repressor	aceC YPO3420	Yersinia pestis	WP_002216080.1;YP_002348312.1;
YPO3424		Q0WBM2	Q0WBM2_YERPE	unreviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19)	nadC YPO3424	Yersinia pestis	WP_002209324.1;YP_002348316.1;
YPO3428		Q8ZBI2	GUAC_YERPE	reviewed	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC YPO3428 y0758 YP_0256	Yersinia pestis	WP_002209320.1;YP_002348320.1;
YPO3430		Q8ZBI0	COAE_YERPE	reviewed	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE YPO3430 y0757 YP_0254	Yersinia pestis	WP_002209319.1;YP_002348322.1;
YPO3431		Q8ZBH9	ZAPD_YERPE	reviewed	Cell division protein ZapD (Z ring-associated protein D)	zapD YPO3431 y0756 YP_0253	Yersinia pestis	WP_002209318.1;YP_002348323.1;
YPO3439		Q7CKF3	Q7CKF3_YERPE	unreviewed	Putative membrane protein	YPO3439	Yersinia pestis	WP_002223173.1;YP_002348330.1;
YPO3440		Q7CKF4	Q7CKF4_YERPE	unreviewed	Putative membrane protein	YPO3440	Yersinia pestis	WP_002209311.1;YP_002348331.1;
YPO3441		Q8ZBH3	AMPA_YERPE	reviewed	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA YPO3441 y0746 YP_0643	Yersinia pestis	WP_002209310.1;YP_002348332.1;
YPO3442		Q74X22	Q74X22_YERPE	unreviewed	DNA polymerase III, chi subunit (EC 2.7.7.7)	holC YPO3442	Yersinia pestis	WP_002209309.1;YP_002348333.1;
YPO3443		Q8ZBH1	SYV_YERPE	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS YPO3443 y0743 YP_0641	Yersinia pestis	WP_002209307.1;YP_002348334.1;
YPO3444		Q7CKF6	Q7CKF6_YERPE	unreviewed	Putative acetyltransferase	YPO3444	Yersinia pestis	WP_002223170.1;YP_002348335.1;
YPO3445		Q7CKF7	Q7CKF7_YERPE	unreviewed	Regulator of ribonuclease activity B	rraB YPO3445	Yersinia pestis	WP_002209303.1;YP_002348336.1;
YPO3446		Q8ZBG8	OTC_YERPE	reviewed	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argI YPO3446 y0740 YP_0638	Yersinia pestis	WP_002209302.1;YP_002348337.1;
YPO3447		Q7CKF8	Q7CKF8_YERPE	unreviewed	Uncharacterized protein	YPO3447	Yersinia pestis	WP_002209301.1;YP_002348338.1;
YPO3452		Q0WBJ7	Q0WBJ7_YERPE	unreviewed	Putative ABC transporter transporter, ATP-binding protein	YPO3452	Yersinia pestis	WP_002209298.1;YP_002348341.1;
YPO3453		Q0WBJ6	Q0WBJ6_YERPE	unreviewed	Putative ABC transporter, ATP-binding protein	YPO3453	Yersinia pestis	WP_002228212.1;YP_002348342.1;
YPO3454		Q7CKG1	Q7CKG1_YERPE	unreviewed	Anaerobic ribonucleoside-triphosphate reductase (EC 1.17.4.2)	nrdD YPO3454	Yersinia pestis	WP_002209296.1;YP_002348343.1;
YPO3455		Q7CKG2	Q7CKG2_YERPE	unreviewed	Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)	nrdG YPO3455	Yersinia pestis	YP_002348344.1;
YPO3466		Q7CKH0	Q7CKH0_YERPE	unreviewed	Uncharacterized protein	YPO3466	Yersinia pestis	WP_002209283.1;YP_002348355.1;
YPO3467		Q8ZBE9	Y3467_YERPE	reviewed	UPF0306 protein YPO3467/y0717/YP_0616	YPO3467 y0717 YP_0616	Yersinia pestis	WP_002209282.1;YP_002348356.1;
YPO3472		Q7CKH5	Q7CKH5_YERPE	unreviewed	Putative sugar binding protein	YPO3472	Yersinia pestis	WP_002209277.1;YP_002348361.1;
YPO3473		Q74X50	Q74X50_YERPE	unreviewed	Putative exported protein	YPO3473	Yersinia pestis	WP_002228211.1;YP_002348362.1;
YPO3476		Q7CKH6	Q7CKH6_YERPE	unreviewed	Putative acetyltransferase	YPO3476	Yersinia pestis	WP_002209273.1;YP_002348365.1;
YPO3479		Q7CKH7	Q7CKH7_YERPE	unreviewed	Putative protease	YPO3479	Yersinia pestis	WP_002209270.1;YP_002348368.1;
YPO3482		Q7CKH9	Q7CKH9_YERPE	unreviewed	Efflux pump membrane transporter	YPO3482	Yersinia pestis	WP_002209267.1;YP_002348371.1;
YPO3483		Q7CKI0	Q7CKI0_YERPE	unreviewed	Multidrug efflux protein	YPO3483	Yersinia pestis	WP_002209266.1;YP_002348372.1;
YPO3484		Q7CKI1	Q7CKI1_YERPE	unreviewed	Uncharacterized protein	YPO3484	Yersinia pestis	WP_002214817.1;YP_002348373.1;
YPO3485		Q7CKI2	Q7CKI2_YERPE	unreviewed	Putative transcriptional regulatory protein	YPO3485	Yersinia pestis	WP_002209263.1;YP_002348374.1;
YPO3488		Q0WBG1	Q0WBG1_YERPE	unreviewed	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A)	csdA deaD YPO3488	Yersinia pestis	WP_002209261.1;YP_002348377.1;
YPO3489		Q7CKI5	NLPI_YERPE	reviewed	Lipoprotein NlpI	nlpI YPO3489 YP_0594 y0695	Yersinia pestis	WP_002209260.1;YP_002348378.1;
YPO3490		Q0WBF9	PNP_YERPE	reviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp YPO3490 y0694 YP_0593	Yersinia pestis	WP_002209259.1;YP_002348379.1;
YPO3493		Q8ZBC5	RS15_YERPE	reviewed	30S ribosomal protein S15	rpsO YPO3493 y0691 YP_0590	Yersinia pestis	WP_002209257.1;YP_002348382.1;
YPO3494		Q8ZBC4	TRUB_YERPE	reviewed	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB YPO3494 y0690 YP_0589	Yersinia pestis	WP_002209256.1;YP_002348383.1;
YPO3495		Q8ZBC3	RBFA_YERPE	reviewed	Ribosome-binding factor A	rbfA YPO3495 y0689 YP_0588	Yersinia pestis	WP_002209255.1;YP_002348384.1;
YPO3496		Q8ZBC2	IF2_YERPE	reviewed	Translation initiation factor IF-2	infB YPO3496 y0688 YP_0587	Yersinia pestis	WP_002223151.1;YP_002348385.1;
YPO3497		Q0WBF2	Q0WBF2_YERPE	unreviewed	Transcription termination/antitermination protein NusA	nusA YPO3497	Yersinia pestis	WP_002209253.1;YP_002348386.1;
YPO3498		Q8ZBC0	RIMP_YERPE	reviewed	Ribosome maturation factor RimP	rimP YPO3498 y0686 YP_0585	Yersinia pestis	
YPO3499		Q7CKI9	Q7CKI9_YERPE	unreviewed	Protein-export membrane protein	secG YPO3499	Yersinia pestis	WP_002210190.1;YP_002348388.1;
YPO3500		Q8ZBB8	GLMM_YERPE	reviewed	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM YPO3500 y0684 YP_0583	Yersinia pestis	WP_002210189.1;YP_002348389.1;
YPO3501		Q7CKJ1	Q7CKJ1_YERPE	unreviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	dhpS YPO3501	Yersinia pestis	WP_002210188.1;YP_002348390.1;
YPO3502		Q0WBE7	Q0WBE7_YERPE	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH YPO3502	Yersinia pestis	WP_002228195.1;YP_002348391.1;
YPO3503		Q8ZBB5	RLME_YERPE	reviewed	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	rlmE ftsJ rrmJ YPO3503 y0681 YP_0580	Yersinia pestis	WP_002228196.1;YP_002348392.1;
YPO3504		Q7CKJ2	Q7CKJ2_YERPE	unreviewed	Uncharacterized protein	YPO3504	Yersinia pestis	WP_002210185.1;YP_002348393.1;
YPO3505		Q8ZBB3	GREA_YERPE	reviewed	Transcription elongation factor GreA (Transcript cleavage factor GreA)	greA YPO3505 y0679 YP_0578	Yersinia pestis	WP_002210184.1;YP_002348394.1;
YPO3506		Q7CKJ3	Q7CKJ3_YERPE	unreviewed	Penicillin-binding protein 4 (EC 3.4.16.4)	dacB YPO3506	Yersinia pestis	WP_002217314.1;YP_002348395.1;
YPO3508		Q7CKJ5	Q7CKJ5_YERPE	unreviewed	Two-component system sensor protein (EC 2.7.3.-)	basS YPO3508	Yersinia pestis	WP_002210182.1;YP_002348397.1;
YPO3509		Q7CKJ6	OBG_YERPE	reviewed	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg YPO3509 y0675 YP_0574	Yersinia pestis	WP_002210181.1;YP_002348398.1;
YPO3511		Q8ZBA7	RL27_YERPE	reviewed	50S ribosomal protein L27	rpmA YPO3511 y0673 YP_0572	Yersinia pestis	WP_002210179.1;YP_002348400.1;
YPO3512		Q0WBD7	RL21_YERPE	reviewed	50S ribosomal protein L21	rplU YPO3512 y0672 YP_0571	Yersinia pestis	WP_002210178.1;YP_002348401.1;
YPO3513		Q7CKJ8	Q7CKJ8_YERPE	unreviewed	Octaprenyl-diphosphate synthase (EC 2.5.1.-)	cel YPO3513	Yersinia pestis	WP_002210177.1;YP_002348402.1;
YPO3516		P61892	MDH_YERPE	reviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh YPO3516 y0668 YP_0567	Yersinia pestis	WP_002210174.1;YP_002348405.1;
YPO3517		Q8ZBA2	ARGR_YERPE	reviewed	Arginine repressor	argR YPO3517 y0667 YP_0566	Yersinia pestis	WP_002210173.1;YP_002348406.1;
YPO3519		Q7CKK2	Q7CKK2_YERPE	unreviewed	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)	mpl YPO3519	Yersinia pestis	WP_002210171.1;YP_002348408.1;
YPO3520		Q0WBC9	F16PA_YERPE	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp YPO3520 y0664 YP_0563	Yersinia pestis	WP_002216946.1;YP_002348409.1;
YPO3521		Q8ZB98	IPYR_YERPE	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppa YPO3521 y0663 YP_0562	Yersinia pestis	WP_002210169.1;YP_002348410.1;
YPO3522		Q7CKK3	Q7CKK3_YERPE	unreviewed	Uncharacterized protein	YPO3522	Yersinia pestis	WP_002210168.1;YP_002348411.1;
YPO3523		Q7CKK4	Q7CKK4_YERPE	unreviewed	Putative exported protein	YPO3523	Yersinia pestis	WP_002210167.1;YP_002348412.1;
YPO3524		Q7CKK5	Q7CKK5_YERPE	unreviewed	Putative exported protein	YPO3524	Yersinia pestis	WP_002210166.1;YP_002348413.1;
YPO3525		Q8ZB94	MSRA_YERPE	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA YPO3525 y0658 YP_0558	Yersinia pestis	WP_002210165.1;YP_002348414.1;
YPO3526		Q7CKK6	Q7CKK6_YERPE	unreviewed	Putative membrane protein	YPO3526	Yersinia pestis	WP_002210164.1;YP_002348415.1;
YPO3528		Q0WBC1	Q0WBC1_YERPE	unreviewed	Putative exported protein	YPO3528	Yersinia pestis	WP_002210162.1;YP_002348417.1;
YPO3529		Q7CKK8	Q7CKK8_YERPE	unreviewed	3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase)	amtA cysQ YPO3529	Yersinia pestis	WP_002210161.1;YP_002348418.1;
YPO3532		Q7CKL1	Q7CKL1_YERPE	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	fklB YPO3532	Yersinia pestis	WP_002228198.1;YP_002348421.1;
YPO3533		Q7CKL2	Q7CKL2_YERPE	unreviewed	Uncharacterized protein	YPO3533	Yersinia pestis	WP_002210158.1;YP_002348422.1;
YPO3534		Q7CKL3	Q7CKL3_YERPE	unreviewed	Putative exported protein	YPO3534	Yersinia pestis	WP_002210157.1;YP_002348423.1;
YPO3536		Q8ZB84	RL9_YERPE	reviewed	50S ribosomal protein L9	rplI YPO3536 y0647 YP_0545	Yersinia pestis	WP_002210156.1;YP_002348425.1;
YPO3537		Q8ZB83	RS18_YERPE	reviewed	30S ribosomal protein S18	rpsR YPO3537 y0646 YP_0544	Yersinia pestis	WP_002210155.1;YP_002348426.1;
YPO3539		Q8ZB81	RS6_YERPE	reviewed	30S ribosomal protein S6	rpsF YPO3539 y0645 YP_0542	Yersinia pestis	WP_002210153.1;YP_002348428.1;
YPO3545		Q7CLA4	Q7CLA4_YERPE	unreviewed	LysR-family transcriptional regulatory protein	YPO3545	Yersinia pestis	WP_002210151.1;YP_002348432.1;
YPO3547		Q7CLA2	Q7CLA2_YERPE	unreviewed	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI YPO3547	Yersinia pestis	WP_002210149.1;YP_002348434.1;
